      2 ?        S      0:00 [kthreadd]
   1299 ?        Ssl    0:00 /usr/libexec/colord
   1442 ?        Ss     0:12 /lib/systemd/systemd --user
   1443 ?        S      0:00  \_ (sd-pam)
   1449 ?        S<sl   0:00  \_ /usr/bin/pipewire
   1450 ?        Ssl    0:02  \_ /usr/bin/pipewire-media-session
   1451 ?        S<sl 136:49  \_ /usr/bin/pulseaudio --daemonize=no --log-target=journal
   1452 ?        Ss     0:01  \_ /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
   1668 ?        Sl     0:00  |   \_ /snap/snapd-desktop-integration/157/usr/bin/snapd-desktop-integration
   1479 ?        Ss     0:51  \_ /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1480 ?        Ssl    0:01  \_ /usr/libexec/xdg-document-portal
   1490 ?        Ss     0:00  |   \_ fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   1484 ?        Ssl    0:00  \_ /usr/libexec/xdg-permission-store
   1554 ?        Ssl    0:00  \_ /usr/libexec/gnome-session-ctl --monitor
   1564 ?        Ssl    0:00  \_ /usr/libexec/gvfsd
   1760 ?        Sl     0:00  |   \_ /usr/libexec/gvfsd-trash --spawner :1.15 /org/gtk/gvfs/exec_spaw/0
  26081 ?        Sl     0:00  |   \_ /usr/libexec/gvfsd-network --spawner :1.15 /org/gtk/gvfs/exec_spaw/1
  26101 ?        Sl     0:00  |   \_ /usr/libexec/gvfsd-dnssd --spawner :1.15 /org/gtk/gvfs/exec_spaw/3
 255059 ?        Sl     0:00  |   \_ /usr/libexec/gvfsd-http --spawner :1.15 /org/gtk/gvfs/exec_spaw/4
   1572 ?        Sl     0:00  \_ /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   1575 ?        Ssl    0:01  \_ /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   1594 ?        Sl     0:00  |   \_ /usr/libexec/at-spi-bus-launcher --launch-immediately
   1604 ?        S      0:00  |   |   \_ /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
   1861 ?        Sl     0:00  |   \_ /usr/libexec/gsd-disk-utility-notify
   1882 ?        Sl     0:00  |   \_ /usr/libexec/evolution-data-server/evolution-alarm-notify
   1597 ?        Ssl  153:44  \_ /usr/bin/gnome-shell
   2334 ?        Sl   259:27  |   \_ /snap/firefox/4259/usr/lib/firefox/firefox
   2527 ?        Sl     0:00  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -parentBuildID 20240510023632 -prefsLen 31938 -prefMapSize 243822 -appDir /snap/firefox/4259/usr/lib/firefox/browser {eeacbb0a-60b7-4cf9-81fe-0c4c065a3dfa} 2334 true socket
   2543 ?        Sl     0:55  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 32079 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {e508ff61-41ec-4ac0-aac6-b218a1efab8a} 2334 true tab
   2669 ?        Sl     1:59  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 37594 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {b7fbd47f-8ed6-435f-8d59-150c6024d0cf} 2334 true tab
   2897 ?        Sl     0:15  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -parentBuildID 20240510023632 -sandboxingKind 0 -prefsLen 37594 -prefMapSize 243822 -appDir /snap/firefox/4259/usr/lib/firefox/browser {7a688808-e1a7-4d67-ad9f-d8e304ca05d1} 2334 true utility
   3199 ?        Sl    78:26  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 10 -isForBrowser -prefsLen 31555 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {8101ddda-dade-4006-8413-0b026ea5f21a} 2334 true tab
   8522 ?        Sl     0:09  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -parentBuildID 20240510023632 -prefsLen 37648 -prefMapSize 243822 -appDir /snap/firefox/4259/usr/lib/firefox/browser {a92cf38d-25d2-408c-bb59-40560d4fb20d} 2334 true rdd
  24552 ?        Sl     5:09  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 60 -isForBrowser -prefsLen 31747 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {2d4616c7-e562-44ed-89b9-838831c451d6} 2334 true tab
  31783 ?        Sl    11:49  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 119 -isForBrowser -prefsLen 31747 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {bd3d3f71-cd8c-4ff4-9fcf-cbe777a5007b} 2334 true tab
 105978 ?        Sl    11:39  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 221 -isForBrowser -prefsLen 31878 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {3b502a45-b76a-451b-884a-16f0d889d4fc} 2334 true tab
 138429 ?        Sl     2:33  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 226 -isForBrowser -prefsLen 31879 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {0e7366e3-e2a3-4be3-9e6b-3e59fa70e701} 2334 true tab
 138510 ?        Sl    19:19  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 227 -isForBrowser -prefsLen 31879 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {88879135-d777-4aba-99f1-70002c14e679} 2334 true tab
 156044 ?        Sl     2:00  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 240 -isForBrowser -prefsLen 31878 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {19baa085-3846-449d-ba7b-fd47dabb01b4} 2334 true tab
 156230 ?        Sl     3:40  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 242 -isForBrowser -prefsLen 31878 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {d216187e-f05f-4d16-ab6b-7b3eb679339a} 2334 true tab
 164709 ?        Sl     0:41  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 275 -isForBrowser -prefsLen 31879 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {e2249777-6999-4126-bc1f-74dab3d5ff52} 2334 true tab
 169591 ?        Sl     0:53  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 308 -isForBrowser -prefsLen 31879 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {f68b1c85-d2d7-46a7-a874-437284f624cb} 2334 true tab
 175115 ?        Sl     2:32  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 323 -isForBrowser -prefsLen 31879 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {0c86e7af-c9eb-4ed3-8c78-abd5019a0f46} 2334 true tab
 175343 ?        Sl     1:34  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 326 -isForBrowser -prefsLen 31879 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {513545bf-9ca0-4d44-bf45-5850646e870d} 2334 true tab
 239005 ?        Sl     0:19  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 439 -isForBrowser -prefsLen 31915 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {0341db86-c9ad-4c2e-a916-53e25eed8fd0} 2334 true tab
 240721 ?        Sl     0:15  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 440 -isForBrowser -prefsLen 31915 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {72df946e-16c3-4ccc-b857-31df24d23438} 2334 true tab
 242572 ?        Sl     0:44  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 441 -isForBrowser -prefsLen 31915 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {442ea178-a9b3-4c94-b0c1-3a3ffc3bdd93} 2334 true tab
 244001 ?        Sl     0:36  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 447 -isForBrowser -prefsLen 31915 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {f6b2f13a-db85-4c36-95a7-28d6de9c0098} 2334 true tab
 249128 ?        Sl     1:21  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 463 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {e12d2d36-ff52-4f11-925f-75d70808482a} 2334 true tab
 259809 ?        Sl     3:32  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 468 -isForBrowser -prefsLen 31915 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {4dfefcc2-99a5-4e51-9063-d6c07175593f} 2334 true tab
 269306 ?        Sl     0:50  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 484 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {2228b3b8-9256-487e-bde3-caf274b1aef5} 2334 true tab
 269356 ?        Sl     0:07  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 485 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {8ddc3112-33ba-439f-8108-714ae6ec44c5} 2334 true tab
 272729 ?        Sl     0:02  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 490 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {f98fd64b-7bed-4b07-9325-ff238145b1ea} 2334 true tab
 273406 ?        Sl     0:10  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 494 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {60551d36-e11e-4440-990a-a15909c2f768} 2334 true tab
 279972 ?        Sl     0:05  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 503 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {11cf4f1a-75eb-4d97-8666-821638451e75} 2334 true tab
 280585 ?        Sl     0:00  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 508 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {ff784b5c-afaa-4a10-b396-225c7d4ba80e} 2334 true tab
 280638 ?        Sl     0:00  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 509 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {9ae62ec5-1e05-4efe-a131-0619af2d4c71} 2334 true tab
 280660 ?        Sl     0:00  |   |   \_ /snap/firefox/4259/usr/lib/firefox/firefox -contentproc -childID 510 -isForBrowser -prefsLen 31914 -prefMapSize 243822 -jsInitLen 231800 -parentBuildID 20240510023632 -greomni /snap/firefox/4259/usr/lib/firefox/omni.ja -appomni /snap/firefox/4259/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4259/usr/lib/firefox/browser {e8f23666-98d6-49ee-bcf5-7c9313cc79f6} 2334 true tab
  22877 ?        Sl     6:09  |   \_ /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.GX3TO2 -listen 4 -listen 5 -displayfd 6 -initfd 7
  26328 ?        Sl     4:38  |   \_ /usr/share/code/code
  26333 ?        S      0:00  |   |   \_ /usr/share/code/code --type=zygote --no-zygote-sandbox
  26370 ?        Sl     8:01  |   |   |   \_ /usr/share/code/code --type=gpu-process --crashpad-handler-pid=26350 --enable-crash-reporter=2fad70d7-e1b0-4030-a232-9432ba116cd9,no_channel --user-data-dir=/home/julia/.config/Code --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=0,i,6486262116667381395,14162139822059322082,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
  26334 ?        S      0:00  |   |   \_ /usr/share/code/code --type=zygote
  26336 ?        S      0:00  |   |   |   \_ /usr/share/code/code --type=zygote
  26411 ?        Sl    11:22  |   |   |       \_ /usr/share/code/code --type=renderer --crashpad-handler-pid=26350 --enable-crash-reporter=2fad70d7-e1b0-4030-a232-9432ba116cd9,no_channel --user-data-dir=/home/julia/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/usr/share/code/resources/app --enable-sandbox --enable-blink-features=HighlightAPI --first-renderer-process --lang=ru --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1716557695916535 --launch-time-ticks=6307042303 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,6486262116667381395,14162139822059322082,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version --vscode-window-config=vscode:ab877904-aba7-4090-9bd9-34ade23bbc07
  26374 ?        Sl     0:11  |   |   \_ /usr/share/code/code --type=utility --utility-sub-type=network.mojom.NetworkService --lang=ru --service-sandbox-type=none --crashpad-handler-pid=26350 --enable-crash-reporter=2fad70d7-e1b0-4030-a232-9432ba116cd9,no_channel --user-data-dir=/home/julia/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,6486262116667381395,14162139822059322082,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
  26447 ?        Sl     1:08  |   |   \_ /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=ru --service-sandbox-type=none --crashpad-handler-pid=26350 --enable-crash-reporter=2fad70d7-e1b0-4030-a232-9432ba116cd9,no_channel --user-data-dir=/home/julia/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,6486262116667381395,14162139822059322082,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
  26448 ?        Sl     0:18  |   |   \_ /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=ru --service-sandbox-type=none --crashpad-handler-pid=26350 --enable-crash-reporter=2fad70d7-e1b0-4030-a232-9432ba116cd9,no_channel --user-data-dir=/home/julia/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,6486262116667381395,14162139822059322082,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
  26467 ?        Sl     1:05  |   |   \_ /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=ru --service-sandbox-type=none --dns-result-order=ipv4first --inspect-port=0 --crashpad-handler-pid=26350 --enable-crash-reporter=2fad70d7-e1b0-4030-a232-9432ba116cd9,no_channel --user-data-dir=/home/julia/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,6486262116667381395,14162139822059322082,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
  26530 ?        Sl     0:56  |   |   |   \_ /home/julia/.vscode/extensions/ms-vscode.cpptools-1.20.5-linux-x64/bin/cpptools
  26493 ?        Sl     4:49  |   |   \_ /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=ru --service-sandbox-type=none --crashpad-handler-pid=26350 --enable-crash-reporter=2fad70d7-e1b0-4030-a232-9432ba116cd9,no_channel --user-data-dir=/home/julia/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,6486262116667381395,14162139822059322082,262144 --enable-features=kWebSQLAccess --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --variations-seed-version
  26511 pts/2    Ss+    0:00  |   |       \_ /usr/bin/bash --init-file /usr/share/code/resources/app/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
 163910 pts/0    Ss+    0:00  |   |       \_ /usr/bin/bash --init-file /usr/share/code/resources/app/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
 173217 pts/6    Ss+    0:00  |   |       \_ /usr/bin/bash --init-file /usr/share/code/resources/app/out/vs/workbench/contrib/terminal/browser/media/shellIntegration-bash.sh
 158993 ?        Sl     0:00  |   \_ /usr/lib/libreoffice/program/oosplash --writer
 159010 ?        Sl     7:30  |   |   \_ /usr/lib/libreoffice/program/soffice.bin --writer
 238287 ?        Sl     0:31  |   \_ gnome-control-center wifi
